State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,132,SB8,,,https://legislature.ohio.gov/legislation/132/sb8,ohio_bill_texts\GA132_SB8.txt,,,Border; Foreign,1-31-2017,3-23-2018,5-17-2017,7-6-2017,,Y,12-22-2017
Ohio,132,SB24,,,https://legislature.ohio.gov/legislation/132/sb24,ohio_bill_texts\GA132_SB24.txt,,,Foreign,1-31-2017,,3-7-2017,5-17-2017,,Y,6-13-2017
Ohio,132,SB29,,,https://legislature.ohio.gov/legislation/132/sb29,ohio_bill_texts\GA132_SB29.txt,,,Foreign,1-31-2017,,3-8-2017,,,N,
Ohio,132,SB38,,,https://legislature.ohio.gov/legislation/132/sb38,ohio_bill_texts\GA132_SB38.txt,,,Immigration; Alien; Foreign,2-7-2017,,,,,N,
Ohio,132,SB44,,,https://legislature.ohio.gov/legislation/132/sb44,ohio_bill_texts\GA132_SB44.txt,,,Immigration,2-9-2017,,3-15-2017,,,N,
Ohio,132,SB48,,,https://legislature.ohio.gov/legislation/132/sb48,ohio_bill_texts\GA132_SB48.txt,,,Citizenship; Foreign,2-14-2017,,,,,N,
Ohio,132,SB51,,,https://legislature.ohio.gov/legislation/132/sb51,ohio_bill_texts\GA132_SB51.txt,,,Border; Foreign,2-14-2017,3-20-2019,7-10-2018,12-12-2018,,N,
Ohio,132,SB65,,,https://legislature.ohio.gov/legislation/132/sb65,ohio_bill_texts\GA132_SB65.txt,,,Foreign,2-21-2017,,,,,N,
Ohio,132,SB66,,,https://legislature.ohio.gov/legislation/132/sb66,ohio_bill_texts\GA132_SB66.txt,,,Foreign,2-21-2017,,2-28-2018,6-27-2018,,Y,7-30-2018
Ohio,132,SB81,,,https://legislature.ohio.gov/legislation/132/sb81,ohio_bill_texts\GA132_SB81.txt,,,Immigration; Citizenship; Alien; Visa; Foreign,3-2-2017,,1-17-2018,6-27-2018,,N,
Ohio,132,SB86,,,https://legislature.ohio.gov/legislation/132/sb86,ohio_bill_texts\GA132_SB86.txt,,,Border,3-2-2017,,6-15-2017,6-20-2018,,N,
Ohio,132,SB91,,,https://legislature.ohio.gov/legislation/132/sb91,ohio_bill_texts\GA132_SB91.txt,,,Migrant,3-7-2017,,,,,N,
Ohio,132,SB94,,,https://legislature.ohio.gov/legislation/132/sb94,ohio_bill_texts\GA132_SB94.txt,,,Foreign,3-7-2017,,,,,N,
Ohio,132,SB96,,,https://legislature.ohio.gov/legislation/132/sb96,ohio_bill_texts\GA132_SB96.txt,,,Immigration,3-8-2017,,,,,N,
Ohio,132,SB98,,,https://legislature.ohio.gov/legislation/132/sb98,ohio_bill_texts\GA132_SB98.txt,,,Foreign,3-14-2017,,,,,N,
Ohio,132,SB100,,,https://legislature.ohio.gov/legislation/132/sb100,ohio_bill_texts\GA132_SB100.txt,,,Citizenship,3-14-2017,,,,,N,
