State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,124,SB22,,,https://legislature.ohio.gov/legislation/124/sb22,ohio_bill_texts\GA124_SB22.txt,,,Foreign,,,,,,N,
Ohio,124,SB38,,,https://legislature.ohio.gov/legislation/124/sb38,ohio_bill_texts\GA124_SB38.txt,,,Border,,,,,,N,
Ohio,124,SB111,,,https://legislature.ohio.gov/legislation/124/sb111,ohio_bill_texts\GA124_SB111.txt,,,Immigration; Alien,,,,,,N,
Ohio,124,SB132,,,https://legislature.ohio.gov/legislation/124/sb132,ohio_bill_texts\GA124_SB132.txt,,,Foreign,,,,,,N,
Ohio,124,SB154,,,https://legislature.ohio.gov/legislation/124/sb154,ohio_bill_texts\GA124_SB154.txt,,,Immigration; Alien,,,,,,N,
Ohio,124,SB183,,,https://legislature.ohio.gov/legislation/124/sb183,ohio_bill_texts\GA124_SB183.txt,,,Border,,,,,,N,
Ohio,124,SB194,,,https://legislature.ohio.gov/legislation/124/sb194,ohio_bill_texts\GA124_SB194.txt,,,Immigration; Alien,,,,,,N,
Ohio,124,SB233,,,https://legislature.ohio.gov/legislation/124/sb233,ohio_bill_texts\GA124_SB233.txt,,,Alien,,,,,,N,
Ohio,124,SB280,,,https://legislature.ohio.gov/legislation/124/sb280,ohio_bill_texts\GA124_SB280.txt,,,Foreign,,,,,,N,
Ohio,124,SB285,,,https://legislature.ohio.gov/legislation/124/sb285,ohio_bill_texts\GA124_SB285.txt,,,Foreign,,,,,,N,
Ohio,124,SB291,,,https://legislature.ohio.gov/legislation/124/sb291,ohio_bill_texts\GA124_SB291.txt,,,Foreign,,,,,,N,
Ohio,124,SB293,,,https://legislature.ohio.gov/legislation/124/sb293,ohio_bill_texts\GA124_SB293.txt,,,Border,,,,,,N,
Ohio,124,SB295,,,https://legislature.ohio.gov/legislation/124/sb295,ohio_bill_texts\GA124_SB295.txt,,,Foreign,,,,,,N,
Ohio,124,SB303,,,https://legislature.ohio.gov/legislation/124/sb303,ohio_bill_texts\GA124_SB303.txt,,,Foreign,,,,,,N,
Ohio,124,HB1,,,https://legislature.ohio.gov/legislation/124/hb1,ohio_bill_texts\GA124_HB1.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,124,HB22,,,https://legislature.ohio.gov/legislation/124/hb22,ohio_bill_texts\GA124_HB22.txt,,,Border,,,,,,N,
Ohio,124,HB27,,,https://legislature.ohio.gov/legislation/124/hb27,ohio_bill_texts\GA124_HB27.txt,,,Border,,,,,,N,
Ohio,124,HB69,,,https://legislature.ohio.gov/legislation/124/hb69,ohio_bill_texts\GA124_HB69.txt,,,Citizenship,,,,,,N,
Ohio,124,HB95,,,https://legislature.ohio.gov/legislation/124/hb95,ohio_bill_texts\GA124_HB95.txt,,,Citizenship; Migrant; Foreign,,,,,,N,
Ohio,124,HB98,,,https://legislature.ohio.gov/legislation/124/hb98,ohio_bill_texts\GA124_HB98.txt,,,Citizenship,,,,,,N,
Ohio,124,HB105,,,https://legislature.ohio.gov/legislation/124/hb105,ohio_bill_texts\GA124_HB105.txt,,,Citizenship,,,,,,N,
Ohio,124,HB134,,,https://legislature.ohio.gov/legislation/124/hb134,ohio_bill_texts\GA124_HB134.txt,,,Foreign,,,,,,N,
Ohio,124,HB135,,,https://legislature.ohio.gov/legislation/124/hb135,ohio_bill_texts\GA124_HB135.txt,,,Citizenship,,,,,,N,
Ohio,124,HB160,,,https://legislature.ohio.gov/legislation/124/hb160,ohio_bill_texts\GA124_HB160.txt,,,Foreign,,,,,,N,
Ohio,124,HB185,,,https://legislature.ohio.gov/legislation/124/hb185,ohio_bill_texts\GA124_HB185.txt,,,Citizenship,,,,,,N,
Ohio,124,HB275,,,https://legislature.ohio.gov/legislation/124/hb275,ohio_bill_texts\GA124_HB275.txt,,,Foreign,,,,,,N,
Ohio,124,HB277,,,https://legislature.ohio.gov/legislation/124/hb277,ohio_bill_texts\GA124_HB277.txt,,,Border,,,,,,N,
Ohio,124,HB288,,,https://legislature.ohio.gov/legislation/124/hb288,ohio_bill_texts\GA124_HB288.txt,,,Foreign,,,,,,N,
Ohio,124,HB336,,,https://legislature.ohio.gov/legislation/124/hb336,ohio_bill_texts\GA124_HB336.txt,,,Immigration; Alien,,,,,,N,
Ohio,124,HB370,,,https://legislature.ohio.gov/legislation/124/hb370,ohio_bill_texts\GA124_HB370.txt,,,Border,,,,,,N,
Ohio,124,HB422,,,https://legislature.ohio.gov/legislation/124/hb422,ohio_bill_texts\GA124_HB422.txt,,,Alien,,,,,,N,
Ohio,124,HB461,,,https://legislature.ohio.gov/legislation/124/hb461,ohio_bill_texts\GA124_HB461.txt,,,Foreign,,,,,,N,
Ohio,124,HB486,,,https://legislature.ohio.gov/legislation/124/hb486,ohio_bill_texts\GA124_HB486.txt,,,Foreign,,,,,,N,
Ohio,124,HB489,,,https://legislature.ohio.gov/legislation/124/hb489,ohio_bill_texts\GA124_HB489.txt,,,Citizenship,,,,,,N,
Ohio,124,HB503,,,https://legislature.ohio.gov/legislation/124/hb503,ohio_bill_texts\GA124_HB503.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,124,HB505,,,https://legislature.ohio.gov/legislation/124/hb505,ohio_bill_texts\GA124_HB505.txt,,,Alien,,,,,,N,
Ohio,124,HB532,,,https://legislature.ohio.gov/legislation/124/hb532,ohio_bill_texts\GA124_HB532.txt,,,Foreign,,,,,,N,
Ohio,124,HB536,,,https://legislature.ohio.gov/legislation/124/hb536,ohio_bill_texts\GA124_HB536.txt,,,Alien,,,,,,N,
Ohio,124,HB542,,,https://legislature.ohio.gov/legislation/124/hb542,ohio_bill_texts\GA124_HB542.txt,,,Foreign,,,,,,N,
Ohio,124,HB571,,,https://legislature.ohio.gov/legislation/124/hb571,ohio_bill_texts\GA124_HB571.txt,,,Foreign,,,,,,N,
Ohio,124,HB589,,,https://legislature.ohio.gov/legislation/124/hb589,ohio_bill_texts\GA124_HB589.txt,,,Foreign,,,,,,N,
