State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,133,SB3,,,https://legislature.ohio.gov/legislation/133/sb3,ohio_bill_texts\GA133_SB3.txt,,,Citizenship; Foreign,2-12-2019,,6-30-2020,,,N,
Ohio,133,SB11,,,https://legislature.ohio.gov/legislation/133/sb11,ohio_bill_texts\GA133_SB11.txt,,,Citizenship,2-12-2019,,,,,N,
Ohio,133,SB15,,,https://legislature.ohio.gov/legislation/133/sb15,ohio_bill_texts\GA133_SB15.txt,,,Citizenship,2-12-2019,,,,,N,
Ohio,133,SB19,,,https://legislature.ohio.gov/legislation/133/sb19,ohio_bill_texts\GA133_SB19.txt,,,Immigration; Citizenship; Alien; Visa; Foreign,2-12-2019,,,,,N,
Ohio,133,SB21,,,https://legislature.ohio.gov/legislation/133/sb21,ohio_bill_texts\GA133_SB21.txt,,,Foreign,2-12-2019,,3-6-2019,11-18-2020,,Y,12-17-2020
Ohio,133,SB26,,,https://legislature.ohio.gov/legislation/133/sb26,ohio_bill_texts\GA133_SB26.txt,,,Foreign,2-12-2019,,5-8-2019,10-10-2019,,Y,11-6-2019
Ohio,133,SB33,,,https://legislature.ohio.gov/legislation/133/sb33,ohio_bill_texts\GA133_SB33.txt,,,Border,2-12-2019,,5-1-2019,12-17-2020,,Y,1-11-2021
Ohio,133,SB40,,,https://legislature.ohio.gov/legislation/133/sb40,ohio_bill_texts\GA133_SB40.txt,,,Immigration; Citizenship; Alien,2-12-2019,,1-28-2020,12-2-2020,,Y,12-17-2020
Ohio,133,SB53,,,https://legislature.ohio.gov/legislation/133/sb53,ohio_bill_texts\GA133_SB53.txt,,,Immigration; Citizenship; Alien,2-19-2019,,2-26-2019,,,N,
Ohio,133,SB63,,,https://legislature.ohio.gov/legislation/133/sb63,ohio_bill_texts\GA133_SB63.txt,,,Foreign,2-26-2019,,,,,N,
Ohio,133,SB68,,,https://legislature.ohio.gov/legislation/133/sb68,ohio_bill_texts\GA133_SB68.txt,,,Citizenship; Foreign,2-26-2019,,5-29-2019,12-17-2020,,Y,1-7-2021
Ohio,133,SB85,,,https://legislature.ohio.gov/legislation/133/sb85,ohio_bill_texts\GA133_SB85.txt,,,Border,3-6-2019,,,,,N,
