State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,125,SB2,,,https://legislature.ohio.gov/legislation/125/sb2,ohio_bill_texts\GA125_SB2.txt,,,Citizenship; Migrant; Foreign,,,,,,N,
Ohio,125,SB7,,,https://legislature.ohio.gov/legislation/125/sb7,ohio_bill_texts\GA125_SB7.txt,,,Foreign,,,,,,N,
Ohio,125,SB33,,,https://legislature.ohio.gov/legislation/125/sb33,ohio_bill_texts\GA125_SB33.txt,,,Foreign,,,,,,N,
Ohio,125,SB39,,,https://legislature.ohio.gov/legislation/125/sb39,ohio_bill_texts\GA125_SB39.txt,,,Foreign,,,,,,N,
Ohio,125,SB49,,,https://legislature.ohio.gov/legislation/125/sb49,ohio_bill_texts\GA125_SB49.txt,,,Foreign,,,,,,N,
Ohio,125,SB53,,,https://legislature.ohio.gov/legislation/125/sb53,ohio_bill_texts\GA125_SB53.txt,,,Immigration,,,,,,N,
Ohio,125,SB65,,,https://legislature.ohio.gov/legislation/125/sb65,ohio_bill_texts\GA125_SB65.txt,,,Foreign,,,,,,N,
Ohio,125,SB71,,,https://legislature.ohio.gov/legislation/125/sb71,ohio_bill_texts\GA125_SB71.txt,,,Citizenship,,,,,,N,
Ohio,125,SB74,,,https://legislature.ohio.gov/legislation/125/sb74,ohio_bill_texts\GA125_SB74.txt,,,Citizenship,,,,,,N,
Ohio,125,SB77,,,https://legislature.ohio.gov/legislation/125/sb77,ohio_bill_texts\GA125_SB77.txt,,,Citizenship,,,,,,N,
Ohio,125,SB80,,,https://legislature.ohio.gov/legislation/125/sb80,ohio_bill_texts\GA125_SB80.txt,,,Foreign,,,,,,N,
Ohio,125,SB81,,,https://legislature.ohio.gov/legislation/125/sb81,ohio_bill_texts\GA125_SB81.txt,,,Foreign,,,,,,N,
Ohio,125,SB86,,,https://legislature.ohio.gov/legislation/125/sb86,ohio_bill_texts\GA125_SB86.txt,,,Foreign,,,,,,N,
Ohio,125,SB89,,,https://legislature.ohio.gov/legislation/125/sb89,ohio_bill_texts\GA125_SB89.txt,,,Foreign,,,,,,N,
Ohio,125,SB92,,,https://legislature.ohio.gov/legislation/125/sb92,ohio_bill_texts\GA125_SB92.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,125,SB96,,,https://legislature.ohio.gov/legislation/125/sb96,ohio_bill_texts\GA125_SB96.txt,,,Foreign,,,,,,N,
Ohio,125,SB106,,,https://legislature.ohio.gov/legislation/125/sb106,ohio_bill_texts\GA125_SB106.txt,,,Foreign,,,,,,N,
Ohio,125,SB124,,,https://legislature.ohio.gov/legislation/125/sb124,ohio_bill_texts\GA125_SB124.txt,,,Foreign,,,,,,N,
Ohio,125,SB133,,,https://legislature.ohio.gov/legislation/125/sb133,ohio_bill_texts\GA125_SB133.txt,,,Foreign,,,,,,N,
Ohio,125,SB147,,,https://legislature.ohio.gov/legislation/125/sb147,ohio_bill_texts\GA125_SB147.txt,,,Foreign,,,,,,N,
Ohio,125,SB148,,,https://legislature.ohio.gov/legislation/125/sb148,ohio_bill_texts\GA125_SB148.txt,,,Migrant; Border; Foreign,,,,,,N,
Ohio,125,SB159,,,https://legislature.ohio.gov/legislation/125/sb159,ohio_bill_texts\GA125_SB159.txt,,,Foreign,,,,,,N,
Ohio,125,SB166,,,https://legislature.ohio.gov/legislation/125/sb166,ohio_bill_texts\GA125_SB166.txt,,,Border,,,,,,N,
Ohio,125,SB189,,,https://legislature.ohio.gov/legislation/125/sb189,ohio_bill_texts\GA125_SB189.txt,,,Foreign,,,,,,N,
Ohio,125,SB193,,,https://legislature.ohio.gov/legislation/125/sb193,ohio_bill_texts\GA125_SB193.txt,,,Foreign,,,,,,N,
Ohio,125,SB215,,,https://legislature.ohio.gov/legislation/125/sb215,ohio_bill_texts\GA125_SB215.txt,,,Foreign,,,,,,N,
Ohio,125,SB218,,,https://legislature.ohio.gov/legislation/125/sb218,ohio_bill_texts\GA125_SB218.txt,,,Foreign,,,,,,N,
Ohio,125,SB230,,,https://legislature.ohio.gov/legislation/125/sb230,ohio_bill_texts\GA125_SB230.txt,,,Foreign,,,,,,N,
Ohio,125,SB238,,,https://legislature.ohio.gov/legislation/125/sb238,ohio_bill_texts\GA125_SB238.txt,,,Citizenship,,,,,,N,
Ohio,125,SB243,,,https://legislature.ohio.gov/legislation/125/sb243,ohio_bill_texts\GA125_SB243.txt,,,Foreign,,,,,,N,
Ohio,125,SB244,,,https://legislature.ohio.gov/legislation/125/sb244,ohio_bill_texts\GA125_SB244.txt,,,Foreign,,,,,,N,
Ohio,125,SB246,,,https://legislature.ohio.gov/legislation/125/sb246,ohio_bill_texts\GA125_SB246.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,125,SB256,,,https://legislature.ohio.gov/legislation/125/sb256,ohio_bill_texts\GA125_SB256.txt,,,Foreign,,,,,,N,
Ohio,125,SB265,,,https://legislature.ohio.gov/legislation/125/sb265,ohio_bill_texts\GA125_SB265.txt,,,Foreign,,,,,,N,
Ohio,125,SB267,,,https://legislature.ohio.gov/legislation/125/sb267,ohio_bill_texts\GA125_SB267.txt,,,Foreign,,,,,,N,
Ohio,125,SB272,,,https://legislature.ohio.gov/legislation/125/sb272,ohio_bill_texts\GA125_SB272.txt,,,Foreign,,,,,,N,
Ohio,125,SB279,,,https://legislature.ohio.gov/legislation/125/sb279,ohio_bill_texts\GA125_SB279.txt,,,Citizenship,,,,,,N,
Ohio,125,SB280,,,https://legislature.ohio.gov/legislation/125/sb280,ohio_bill_texts\GA125_SB280.txt,,,Foreign,,,,,,N,
Ohio,125,HB3,,,https://legislature.ohio.gov/legislation/125/hb3,ohio_bill_texts\GA125_HB3.txt,,,Citizenship; Migrant; Foreign,,,,,,N,
Ohio,125,HB5,,,https://legislature.ohio.gov/legislation/125/hb5,ohio_bill_texts\GA125_HB5.txt,,,Foreign,,,,,,N,
Ohio,125,HB7,,,https://legislature.ohio.gov/legislation/125/hb7,ohio_bill_texts\GA125_HB7.txt,,,Foreign,,,,,,N,
Ohio,125,HB11,,,https://legislature.ohio.gov/legislation/125/hb11,ohio_bill_texts\GA125_HB11.txt,,,Migrant; Border; Foreign,,,,,,N,
Ohio,125,HB12,,,https://legislature.ohio.gov/legislation/125/hb12,ohio_bill_texts\GA125_HB12.txt,,,Foreign,,,,,,N,
Ohio,125,HB41,,,https://legislature.ohio.gov/legislation/125/hb41,ohio_bill_texts\GA125_HB41.txt,,,Citizenship,,,,,,N,
Ohio,125,HB94,,,https://legislature.ohio.gov/legislation/125/hb94,ohio_bill_texts\GA125_HB94.txt,,,Citizenship,,,,,,N,
Ohio,125,HB95,,,https://legislature.ohio.gov/legislation/125/hb95,ohio_bill_texts\GA125_HB95.txt,,,Citizenship; Alien; Migrant; Undocumented; Border; Foreign,,,,,,N,
Ohio,125,HB106,,,https://legislature.ohio.gov/legislation/125/hb106,ohio_bill_texts\GA125_HB106.txt,,,Citizenship,,,,,,N,
Ohio,125,HB127,,,https://legislature.ohio.gov/legislation/125/hb127,ohio_bill_texts\GA125_HB127.txt,,,Foreign,,,,,,N,
Ohio,125,HB128,,,https://legislature.ohio.gov/legislation/125/hb128,ohio_bill_texts\GA125_HB128.txt,,,Foreign,,,,,,N,
Ohio,125,HB137,,,https://legislature.ohio.gov/legislation/125/hb137,ohio_bill_texts\GA125_HB137.txt,,,Foreign,,,,,,N,
Ohio,125,HB143,,,https://legislature.ohio.gov/legislation/125/hb143,ohio_bill_texts\GA125_HB143.txt,,,Foreign,,,,,,N,
Ohio,125,HB147,,,https://legislature.ohio.gov/legislation/125/hb147,ohio_bill_texts\GA125_HB147.txt,,,Citizenship,,,,,,N,
Ohio,125,HB150,,,https://legislature.ohio.gov/legislation/125/hb150,ohio_bill_texts\GA125_HB150.txt,,,Border; Foreign,,,,,,N,
Ohio,125,HB156,,,https://legislature.ohio.gov/legislation/125/hb156,ohio_bill_texts\GA125_HB156.txt,,,Citizenship; Alien; Foreign,,,,,,N,
Ohio,125,HB160,,,https://legislature.ohio.gov/legislation/125/hb160,ohio_bill_texts\GA125_HB160.txt,,,Foreign,,,,,,N,
Ohio,125,HB168,,,https://legislature.ohio.gov/legislation/125/hb168,ohio_bill_texts\GA125_HB168.txt,,,Foreign,,,,,,N,
Ohio,125,HB182,,,https://legislature.ohio.gov/legislation/125/hb182,ohio_bill_texts\GA125_HB182.txt,,,Foreign,,,,,,N,
Ohio,125,HB200,,,https://legislature.ohio.gov/legislation/125/hb200,ohio_bill_texts\GA125_HB200.txt,,,Alien; Foreign,,,,,,N,
Ohio,125,HB205,,,https://legislature.ohio.gov/legislation/125/hb205,ohio_bill_texts\GA125_HB205.txt,,,Foreign,,,,,,N,
Ohio,125,HB222,,,https://legislature.ohio.gov/legislation/125/hb222,ohio_bill_texts\GA125_HB222.txt,,,Foreign,,,,,,N,
Ohio,125,HB225,,,https://legislature.ohio.gov/legislation/125/hb225,ohio_bill_texts\GA125_HB225.txt,,,Foreign,,,,,,N,
Ohio,125,HB227,,,https://legislature.ohio.gov/legislation/125/hb227,ohio_bill_texts\GA125_HB227.txt,,,Foreign,,,,,,N,
Ohio,125,HB230,,,https://legislature.ohio.gov/legislation/125/hb230,ohio_bill_texts\GA125_HB230.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,125,HB243,,,https://legislature.ohio.gov/legislation/125/hb243,ohio_bill_texts\GA125_HB243.txt,,,Foreign,,,,,,N,
Ohio,125,HB246,,,https://legislature.ohio.gov/legislation/125/hb246,ohio_bill_texts\GA125_HB246.txt,,,Citizenship,,,,,,N,
Ohio,125,HB264,,,https://legislature.ohio.gov/legislation/125/hb264,ohio_bill_texts\GA125_HB264.txt,,,Border,,,,,,N,
Ohio,125,HB266,,,https://legislature.ohio.gov/legislation/125/hb266,ohio_bill_texts\GA125_HB266.txt,,,Foreign,,,,,,N,
Ohio,125,HB272,,,https://legislature.ohio.gov/legislation/125/hb272,ohio_bill_texts\GA125_HB272.txt,,,Foreign,,,,,,N,
Ohio,125,HB281,,,https://legislature.ohio.gov/legislation/125/hb281,ohio_bill_texts\GA125_HB281.txt,,,Foreign,,,,,,N,
Ohio,125,HB288,,,https://legislature.ohio.gov/legislation/125/hb288,ohio_bill_texts\GA125_HB288.txt,,,Foreign,,,,,,N,
Ohio,125,HB290,,,https://legislature.ohio.gov/legislation/125/hb290,ohio_bill_texts\GA125_HB290.txt,,,Immigration; Alien,,,,,,N,
Ohio,125,HB300,,,https://legislature.ohio.gov/legislation/125/hb300,ohio_bill_texts\GA125_HB300.txt,,,Citizenship,,,,,,N,
Ohio,125,HB305,,,https://legislature.ohio.gov/legislation/125/hb305,ohio_bill_texts\GA125_HB305.txt,,,Foreign,,,,,,N,
Ohio,125,HB306,,,https://legislature.ohio.gov/legislation/125/hb306,ohio_bill_texts\GA125_HB306.txt,,,Foreign,,,,,,N,
Ohio,125,HB316,,,https://legislature.ohio.gov/legislation/125/hb316,ohio_bill_texts\GA125_HB316.txt,,,Foreign,,,,,,N,
Ohio,125,HB325,,,https://legislature.ohio.gov/legislation/125/hb325,ohio_bill_texts\GA125_HB325.txt,,,Undocumented,,,,,,N,
Ohio,125,HB326,,,https://legislature.ohio.gov/legislation/125/hb326,ohio_bill_texts\GA125_HB326.txt,,,Immigration; Alien,,,,,,N,
Ohio,125,HB330,,,https://legislature.ohio.gov/legislation/125/hb330,ohio_bill_texts\GA125_HB330.txt,,,Migrant,,,,,,N,
Ohio,125,HB344,,,https://legislature.ohio.gov/legislation/125/hb344,ohio_bill_texts\GA125_HB344.txt,,,Foreign,,,,,,N,
Ohio,125,HB346,,,https://legislature.ohio.gov/legislation/125/hb346,ohio_bill_texts\GA125_HB346.txt,,,Foreign,,,,,,N,
Ohio,125,HB350,,,https://legislature.ohio.gov/legislation/125/hb350,ohio_bill_texts\GA125_HB350.txt,,,Foreign,,,,,,N,
Ohio,125,HB357,,,https://legislature.ohio.gov/legislation/125/hb357,ohio_bill_texts\GA125_HB357.txt,,,Foreign,,,,,,N,
Ohio,125,HB362,,,https://legislature.ohio.gov/legislation/125/hb362,ohio_bill_texts\GA125_HB362.txt,,,Foreign,,,,,,N,
Ohio,125,HB373,,,https://legislature.ohio.gov/legislation/125/hb373,ohio_bill_texts\GA125_HB373.txt,,,Foreign,,,,,,N,
Ohio,125,HB395,,,https://legislature.ohio.gov/legislation/125/hb395,ohio_bill_texts\GA125_HB395.txt,,,Foreign,,,,,,N,
Ohio,125,HB396,,,https://legislature.ohio.gov/legislation/125/hb396,ohio_bill_texts\GA125_HB396.txt,,,Alien,,,,,,N,
Ohio,125,HB407,,,https://legislature.ohio.gov/legislation/125/hb407,ohio_bill_texts\GA125_HB407.txt,,,Foreign,,,,,,N,
Ohio,125,HB425,,,https://legislature.ohio.gov/legislation/125/hb425,ohio_bill_texts\GA125_HB425.txt,,,Foreign,,,,,,N,
Ohio,125,HB426,,,https://legislature.ohio.gov/legislation/125/hb426,ohio_bill_texts\GA125_HB426.txt,,,Foreign,,,,,,N,
Ohio,125,HB451,,,https://legislature.ohio.gov/legislation/125/hb451,ohio_bill_texts\GA125_HB451.txt,,,Border,,,,,,N,
Ohio,125,HB452,,,https://legislature.ohio.gov/legislation/125/hb452,ohio_bill_texts\GA125_HB452.txt,,,Foreign,,,,,,N,
Ohio,125,HB470,,,https://legislature.ohio.gov/legislation/125/hb470,ohio_bill_texts\GA125_HB470.txt,,,Foreign,,,,,,N,
Ohio,125,HB476,,,https://legislature.ohio.gov/legislation/125/hb476,ohio_bill_texts\GA125_HB476.txt,,,Foreign,,,,,,N,
Ohio,125,HB481,,,https://legislature.ohio.gov/legislation/125/hb481,ohio_bill_texts\GA125_HB481.txt,,,Citizenship; Alien,,,,,,N,
Ohio,125,HB482,,,https://legislature.ohio.gov/legislation/125/hb482,ohio_bill_texts\GA125_HB482.txt,,,Foreign,,,,,,N,
Ohio,125,HB493,,,https://legislature.ohio.gov/legislation/125/hb493,ohio_bill_texts\GA125_HB493.txt,,,Citizenship,,,,,,N,
Ohio,125,HB496,,,https://legislature.ohio.gov/legislation/125/hb496,ohio_bill_texts\GA125_HB496.txt,,,Foreign,,,,,,N,
Ohio,125,HB507,,,https://legislature.ohio.gov/legislation/125/hb507,ohio_bill_texts\GA125_HB507.txt,,,Immigration; Alien; Visa,,,,,,N,
Ohio,125,HB516,,,https://legislature.ohio.gov/legislation/125/hb516,ohio_bill_texts\GA125_HB516.txt,,,Foreign,,,,,,N,
Ohio,125,HB518,,,https://legislature.ohio.gov/legislation/125/hb518,ohio_bill_texts\GA125_HB518.txt,,,Foreign,,,,,,N,
Ohio,125,HB527,,,https://legislature.ohio.gov/legislation/125/hb527,ohio_bill_texts\GA125_HB527.txt,,,Foreign,,,,,,N,
Ohio,125,HB528,,,https://legislature.ohio.gov/legislation/125/hb528,ohio_bill_texts\GA125_HB528.txt,,,Foreign,,,,,,N,
Ohio,125,HB535,,,https://legislature.ohio.gov/legislation/125/hb535,ohio_bill_texts\GA125_HB535.txt,,,Border,,,,,,N,
