State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,126,SB1,,,https://legislature.ohio.gov/legislation/126/sb1,ohio_bill_texts\GA126_SB1.txt,,,Foreign,,,,,,N,
Ohio,126,SB8,,,https://legislature.ohio.gov/legislation/126/sb8,ohio_bill_texts\GA126_SB8.txt,,,Foreign,,,,,,N,
Ohio,126,SB9,,,https://legislature.ohio.gov/legislation/126/sb9,ohio_bill_texts\GA126_SB9.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,126,SB20,,,https://legislature.ohio.gov/legislation/126/sb20,ohio_bill_texts\GA126_SB20.txt,,,Foreign,,,,,,N,
Ohio,126,SB26,,,https://legislature.ohio.gov/legislation/126/sb26,ohio_bill_texts\GA126_SB26.txt,,,Foreign,,,,,,N,
Ohio,126,SB44,,,https://legislature.ohio.gov/legislation/126/sb44,ohio_bill_texts\GA126_SB44.txt,,,Foreign,,,,,,N,
Ohio,126,SB51,,,https://legislature.ohio.gov/legislation/126/sb51,ohio_bill_texts\GA126_SB51.txt,,,Foreign,,,,,,N,
Ohio,126,SB53,,,https://legislature.ohio.gov/legislation/126/sb53,ohio_bill_texts\GA126_SB53.txt,,,Foreign,,,,,,N,
Ohio,126,SB72,,,https://legislature.ohio.gov/legislation/126/sb72,ohio_bill_texts\GA126_SB72.txt,,,Foreign,,,,,,N,
Ohio,126,SB75,,,https://legislature.ohio.gov/legislation/126/sb75,ohio_bill_texts\GA126_SB75.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,126,SB81,,,https://legislature.ohio.gov/legislation/126/sb81,ohio_bill_texts\GA126_SB81.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,126,SB88,,,https://legislature.ohio.gov/legislation/126/sb88,ohio_bill_texts\GA126_SB88.txt,,,Foreign,,,,,,N,
Ohio,126,SB90,,,https://legislature.ohio.gov/legislation/126/sb90,ohio_bill_texts\GA126_SB90.txt,,,Foreign,,,,,,N,
Ohio,126,SB91,,,https://legislature.ohio.gov/legislation/126/sb91,ohio_bill_texts\GA126_SB91.txt,,,Foreign,,,,,,N,
Ohio,126,SB112,,,https://legislature.ohio.gov/legislation/126/sb112,ohio_bill_texts\GA126_SB112.txt,,,Foreign,,,,,,N,
Ohio,126,SB114,,,https://legislature.ohio.gov/legislation/126/sb114,ohio_bill_texts\GA126_SB114.txt,,,Border,,,,,,N,
Ohio,126,SB115,,,https://legislature.ohio.gov/legislation/126/sb115,ohio_bill_texts\GA126_SB115.txt,,,Foreign,,,,,,N,
Ohio,126,SB116,,,https://legislature.ohio.gov/legislation/126/sb116,ohio_bill_texts\GA126_SB116.txt,,,Foreign,,,,,,N,
Ohio,126,SB120,,,https://legislature.ohio.gov/legislation/126/sb120,ohio_bill_texts\GA126_SB120.txt,,,Foreign,,,,,,N,
Ohio,126,SB140,,,https://legislature.ohio.gov/legislation/126/sb140,ohio_bill_texts\GA126_SB140.txt,,,Foreign,,,,,,N,
Ohio,126,SB151,,,https://legislature.ohio.gov/legislation/126/sb151,ohio_bill_texts\GA126_SB151.txt,,,Foreign,,,,,,N,
Ohio,126,SB154,,,https://legislature.ohio.gov/legislation/126/sb154,ohio_bill_texts\GA126_SB154.txt,,,Foreign,,,,,,N,
Ohio,126,SB160,,,https://legislature.ohio.gov/legislation/126/sb160,ohio_bill_texts\GA126_SB160.txt,,,Foreign,,,,,,N,
Ohio,126,SB164,,,https://legislature.ohio.gov/legislation/126/sb164,ohio_bill_texts\GA126_SB164.txt,,,Foreign,,,,,,N,
Ohio,126,SB172,,,https://legislature.ohio.gov/legislation/126/sb172,ohio_bill_texts\GA126_SB172.txt,,,Migrant,,,,,,N,
Ohio,126,SB180,,,https://legislature.ohio.gov/legislation/126/sb180,ohio_bill_texts\GA126_SB180.txt,,,Foreign,,,,,,N,
Ohio,126,SB183,,,https://legislature.ohio.gov/legislation/126/sb183,ohio_bill_texts\GA126_SB183.txt,,,Foreign,,,,,,N,
Ohio,126,SB185,,,https://legislature.ohio.gov/legislation/126/sb185,ohio_bill_texts\GA126_SB185.txt,,,Foreign,,,,,,N,
Ohio,126,SB189,,,https://legislature.ohio.gov/legislation/126/sb189,ohio_bill_texts\GA126_SB189.txt,,,Foreign,,,,,,N,
Ohio,126,SB190,,,https://legislature.ohio.gov/legislation/126/sb190,ohio_bill_texts\GA126_SB190.txt,,,Foreign,,,,,,N,
Ohio,126,SB191,,,https://legislature.ohio.gov/legislation/126/sb191,ohio_bill_texts\GA126_SB191.txt,,,Alien,,,,,,N,
Ohio,126,SB193,,,https://legislature.ohio.gov/legislation/126/sb193,ohio_bill_texts\GA126_SB193.txt,,,Foreign,,,,,,N,
Ohio,126,SB200,,,https://legislature.ohio.gov/legislation/126/sb200,ohio_bill_texts\GA126_SB200.txt,,,Foreign,,,,,,N,
Ohio,126,SB201,,,https://legislature.ohio.gov/legislation/126/sb201,ohio_bill_texts\GA126_SB201.txt,,,Foreign,,,,,,N,
Ohio,126,SB212,,,https://legislature.ohio.gov/legislation/126/sb212,ohio_bill_texts\GA126_SB212.txt,,,Foreign,,,,,,N,
Ohio,126,SB219,,,https://legislature.ohio.gov/legislation/126/sb219,ohio_bill_texts\GA126_SB219.txt,,,Immigration; Foreign,,,,,,N,
Ohio,126,SB223,,,https://legislature.ohio.gov/legislation/126/sb223,ohio_bill_texts\GA126_SB223.txt,,,Foreign,,,,,,N,
Ohio,126,SB233,,,https://legislature.ohio.gov/legislation/126/sb233,ohio_bill_texts\GA126_SB233.txt,,,Foreign,,,,,,N,
Ohio,126,SB238,,,https://legislature.ohio.gov/legislation/126/sb238,ohio_bill_texts\GA126_SB238.txt,,,Immigration; Border; Foreign,,,,,,N,
Ohio,126,SB246,,,https://legislature.ohio.gov/legislation/126/sb246,ohio_bill_texts\GA126_SB246.txt,,,Foreign,,,,,,N,
Ohio,126,SB247,,,https://legislature.ohio.gov/legislation/126/sb247,ohio_bill_texts\GA126_SB247.txt,,,Foreign,,,,,,N,
Ohio,126,SB250,,,https://legislature.ohio.gov/legislation/126/sb250,ohio_bill_texts\GA126_SB250.txt,,,Foreign,,,,,,N,
Ohio,126,SB252,,,https://legislature.ohio.gov/legislation/126/sb252,ohio_bill_texts\GA126_SB252.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,126,SB275,,,https://legislature.ohio.gov/legislation/126/sb275,ohio_bill_texts\GA126_SB275.txt,,,Foreign,,,,,,N,
Ohio,126,SB287,,,https://legislature.ohio.gov/legislation/126/sb287,ohio_bill_texts\GA126_SB287.txt,,,Immigration; Foreign,,,,,,N,
Ohio,126,SB291,,,https://legislature.ohio.gov/legislation/126/sb291,ohio_bill_texts\GA126_SB291.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,126,SB292,,,https://legislature.ohio.gov/legislation/126/sb292,ohio_bill_texts\GA126_SB292.txt,,,Foreign,,,,,,N,
Ohio,126,SB294,,,https://legislature.ohio.gov/legislation/126/sb294,ohio_bill_texts\GA126_SB294.txt,,,Foreign,,,,,,N,
Ohio,126,SB300,,,https://legislature.ohio.gov/legislation/126/sb300,ohio_bill_texts\GA126_SB300.txt,,,Foreign,,,,,,N,
Ohio,126,SB311,,,https://legislature.ohio.gov/legislation/126/sb311,ohio_bill_texts\GA126_SB311.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,126,SB321,,,https://legislature.ohio.gov/legislation/126/sb321,ohio_bill_texts\GA126_SB321.txt,,,Citizenship; Alien; Foreign,,,,,,N,
Ohio,126,SB322,,,https://legislature.ohio.gov/legislation/126/sb322,ohio_bill_texts\GA126_SB322.txt,,,Foreign,,,,,,N,
Ohio,126,SB324,,,https://legislature.ohio.gov/legislation/126/sb324,ohio_bill_texts\GA126_SB324.txt,,,Foreign,,,,,,N,
Ohio,126,SB331,,,https://legislature.ohio.gov/legislation/126/sb331,ohio_bill_texts\GA126_SB331.txt,,,Citizenship,,,,,,N,
Ohio,126,SB339,,,https://legislature.ohio.gov/legislation/126/sb339,ohio_bill_texts\GA126_SB339.txt,,,Alien,,,,,,N,
Ohio,126,SB340,,,https://legislature.ohio.gov/legislation/126/sb340,ohio_bill_texts\GA126_SB340.txt,,,Foreign,,,,,,N,
Ohio,126,SB352,,,https://legislature.ohio.gov/legislation/126/sb352,ohio_bill_texts\GA126_SB352.txt,,,Immigration,,,,,,N,
Ohio,126,SB353,,,https://legislature.ohio.gov/legislation/126/sb353,ohio_bill_texts\GA126_SB353.txt,,,Foreign,,,,,,N,
Ohio,126,SB356,,,https://legislature.ohio.gov/legislation/126/sb356,ohio_bill_texts\GA126_SB356.txt,,,Immigration; Foreign,,,,,,N,
Ohio,126,SB360,,,https://legislature.ohio.gov/legislation/126/sb360,ohio_bill_texts\GA126_SB360.txt,,,Foreign,,,,,,N,
Ohio,126,SB368,,,https://legislature.ohio.gov/legislation/126/sb368,ohio_bill_texts\GA126_SB368.txt,,,Immigration; Citizenship; Alien,,,,,,N,
Ohio,126,SB377,,,https://legislature.ohio.gov/legislation/126/sb377,ohio_bill_texts\GA126_SB377.txt,,,Immigration,,,,,,N,
Ohio,126,SB378,,,https://legislature.ohio.gov/legislation/126/sb378,ohio_bill_texts\GA126_SB378.txt,,,Foreign,,,,,,N,
Ohio,126,HB3,,,https://legislature.ohio.gov/legislation/126/hb3,ohio_bill_texts\GA126_HB3.txt,,,Immigration; Citizenship; Foreign,,,,,,N,
Ohio,126,HB8,,,https://legislature.ohio.gov/legislation/126/hb8,ohio_bill_texts\GA126_HB8.txt,,,Foreign,,,,,,N,
Ohio,126,HB16,,,https://legislature.ohio.gov/legislation/126/hb16,ohio_bill_texts\GA126_HB16.txt,,,Immigration; Alien,,,,,,N,
Ohio,126,HB24,,,https://legislature.ohio.gov/legislation/126/hb24,ohio_bill_texts\GA126_HB24.txt,,,Foreign,,,,,,N,
Ohio,126,HB26,,,https://legislature.ohio.gov/legislation/126/hb26,ohio_bill_texts\GA126_HB26.txt,,,Foreign,,,,,,N,
Ohio,126,HB28,,,https://legislature.ohio.gov/legislation/126/hb28,ohio_bill_texts\GA126_HB28.txt,,,Citizenship,,,,,,N,
Ohio,126,HB35,,,https://legislature.ohio.gov/legislation/126/hb35,ohio_bill_texts\GA126_HB35.txt,,,Migrant,,,,,,N,
Ohio,126,HB42,,,https://legislature.ohio.gov/legislation/126/hb42,ohio_bill_texts\GA126_HB42.txt,,,Foreign,,,,,,N,
Ohio,126,HB47,,,https://legislature.ohio.gov/legislation/126/hb47,ohio_bill_texts\GA126_HB47.txt,,,Foreign,,,,,,N,
Ohio,126,HB66,,,https://legislature.ohio.gov/legislation/126/hb66,ohio_bill_texts\GA126_HB66.txt,,,Immigration; Citizenship; Alien; Migrant; Border; Foreign,,,,,,N,
Ohio,126,HB68,,,https://legislature.ohio.gov/legislation/126/hb68,ohio_bill_texts\GA126_HB68.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,126,HB70,,,https://legislature.ohio.gov/legislation/126/hb70,ohio_bill_texts\GA126_HB70.txt,,,Foreign,,,,,,N,
Ohio,126,HB74,,,https://legislature.ohio.gov/legislation/126/hb74,ohio_bill_texts\GA126_HB74.txt,,,Foreign,,,,,,N,
Ohio,126,HB81,,,https://legislature.ohio.gov/legislation/126/hb81,ohio_bill_texts\GA126_HB81.txt,,,Foreign,,,,,,N,
Ohio,126,HB91,,,https://legislature.ohio.gov/legislation/126/hb91,ohio_bill_texts\GA126_HB91.txt,,,Foreign,,,,,,N,
Ohio,126,HB105,,,https://legislature.ohio.gov/legislation/126/hb105,ohio_bill_texts\GA126_HB105.txt,,,Foreign,,,,,,N,
Ohio,126,HB113,,,https://legislature.ohio.gov/legislation/126/hb113,ohio_bill_texts\GA126_HB113.txt,,,Foreign,,,,,,N,
Ohio,126,HB115,,,https://legislature.ohio.gov/legislation/126/hb115,ohio_bill_texts\GA126_HB115.txt,,,Foreign,,,,,,N,
Ohio,126,HB123,,,https://legislature.ohio.gov/legislation/126/hb123,ohio_bill_texts\GA126_HB123.txt,,,Border; Foreign,,,,,,N,
Ohio,126,HB137,,,https://legislature.ohio.gov/legislation/126/hb137,ohio_bill_texts\GA126_HB137.txt,,,Foreign,,,,,,N,
Ohio,126,HB149,,,https://legislature.ohio.gov/legislation/126/hb149,ohio_bill_texts\GA126_HB149.txt,,,Foreign,,,,,,N,
Ohio,126,HB150,,,https://legislature.ohio.gov/legislation/126/hb150,ohio_bill_texts\GA126_HB150.txt,,,Foreign,,,,,,N,
