State,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,HF688,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF688&ga=91,bill_texts/GA91/HF688.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF687,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF687&ga=91,bill_texts/GA91/HF687.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF666,"SHIPLEY, THOMPSON, FETT, HENDERSON, CISNEROS, GERHOLD, HAYES, WENGRYN, and FISHER",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF666&ga=91,bill_texts/GA91/HF666.txt,,,,House,,,,,,,Y,,,,,Chapter 616,,"Alien, Foreign"
Iowa,HF800,COMMITTEE ON AGRICULTURE (SUCCESSOR TO HSB 132),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF800&ga=91,bill_texts/GA91/HF800.txt,,,,House,,,,,,,Y,,,,,Chapter 182,,Foreign
Iowa,HF778,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF778&ga=91,bill_texts/GA91/HF778.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF759,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 109),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF759&ga=91,bill_texts/GA91/HF759.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF756,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 72),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF756&ga=91,bill_texts/GA91/HF756.txt,,,,House,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,HF732,MADISON,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF732&ga=91,bill_texts/GA91/HF732.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF730,"MATSON, EHLERT, LEVIN, MADISON, KURTH, and GJERDE",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF730&ga=91,bill_texts/GA91/HF730.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF828,R. JOHNSON,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF828&ga=91,bill_texts/GA91/HF828.txt,,,,House,,,,,,,Y,,,,,Chapter 22,,Immigration
