State,GA,Bill Identifier,URL,Path to full text,Keywords
Illinois,100,HB0450,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0450.htm,billtext/GA100/HB0450.txt,Foreign
Illinois,100,HB0454,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0454.htm,billtext/GA100/HB0454.txt,"Visa, Foreign"
Illinois,100,HB0460,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0460.htm,billtext/GA100/HB0460.txt,Foreign
Illinois,100,HB0468,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0468.htm,billtext/GA100/HB0468.txt,Foreign
Illinois,100,HB0472,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0472.htm,billtext/GA100/HB0472.txt,"Border, Foreign"
Illinois,100,HB0480,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0480.htm,billtext/GA100/HB0480.txt,Foreign
Illinois,100,HB0481,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0481.htm,billtext/GA100/HB0481.txt,Foreign
Illinois,100,HB0492,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0492.htm,billtext/GA100/HB0492.txt,"Immigration, Alien, Visa, Foreign"
Illinois,100,HB0497,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0497.htm,billtext/GA100/HB0497.txt,"Border, Foreign"
Illinois,100,HB0503,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0503.htm,billtext/GA100/HB0503.txt,Visa
Illinois,100,HB0504,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0504.htm,billtext/GA100/HB0504.txt,"Immigration, Alien, Migrant, Visa, Foreign"
Illinois,100,HB0505,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0505.htm,billtext/GA100/HB0505.txt,"Border, Foreign"
Illinois,100,HB0510,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0510.htm,billtext/GA100/HB0510.txt,Foreign
Illinois,100,HB0527,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0527.htm,billtext/GA100/HB0527.txt,"Alien, Foreign"
Illinois,100,HB0626,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0626.htm,billtext/GA100/HB0626.txt,Citizenship
Illinois,100,HB0628,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0628.htm,billtext/GA100/HB0628.txt,Foreign
Illinois,100,HB0632,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0632.htm,billtext/GA100/HB0632.txt,"Border, Foreign"
Illinois,100,HB0635,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0635.htm,billtext/GA100/HB0635.txt,Visa
