State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,90,HSB697,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB697&ga=90,bill_texts/GA90/HSB697.txt,,,,,Citizenship
Iowa,90,HSB696,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB696&ga=90,bill_texts/GA90/HSB696.txt,,,Chapter 290,,Border
Iowa,90,HSB694,(PROPOSED DEPARTMENT OF REVENUE BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB694&ga=90,bill_texts/GA90/HSB694.txt,,,Chapter 450,,Visa
Iowa,90,HSB682,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB682&ga=90,bill_texts/GA90/HSB682.txt,,,,,Foreign
Iowa,90,HSB674,(PROPOSED COMMITTEE ON AGRICULTURE BILL BY CHAIRPERSON SEXTON),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB674&ga=90,bill_texts/GA90/HSB674.txt,,,Chapter 22,,"Visa, Border"
Iowa,90,HSB670,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB670&ga=90,bill_texts/GA90/HSB670.txt,,,,,Foreign
Iowa,90,HSB664,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB664&ga=90,bill_texts/GA90/HSB664.txt,,,Chapter 320,,Citizenship
Iowa,90,HSB663,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB663&ga=90,bill_texts/GA90/HSB663.txt,,,Chapter 115,,"Alien, Foreign"
Iowa,90,HSB659,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB659&ga=90,bill_texts/GA90/HSB659.txt,,,Chapter 489,,Foreign
Iowa,90,HSB653,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB653&ga=90,bill_texts/GA90/HSB653.txt,,,Chapter 231,,"Citizenship, Visa, Border"
Iowa,90,HSB649,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB649&ga=90,bill_texts/GA90/HSB649.txt,,,Chapter 144,,Foreign
Iowa,90,HSB645,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB645&ga=90,bill_texts/GA90/HSB645.txt,,,Chapter 400,,"Migrant, Foreign"
Iowa,90,HSB632,(PROPOSED SECRETARY OF STATE BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB632&ga=90,bill_texts/GA90/HSB632.txt,,,Chapter 488,,Foreign
Iowa,90,HSB626,(PROPOSED TREASURER OF STATE BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB626&ga=90,bill_texts/GA90/HSB626.txt,,,,,Foreign
Iowa,90,HSB624,(PROPOSED DEPARTMENT OF HEALTH AND HUMAN SERVICES BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB624&ga=90,bill_texts/GA90/HSB624.txt,,,Chapter 138,,Visa
Iowa,90,HSB622,(PROPOSED ECONOMIC DEVELOPMENT AUTHORITY BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB622&ga=90,bill_texts/GA90/HSB622.txt,,,,,"Migrant, Foreign"
Iowa,90,HSB606,(PROPOSED COMMITTEE ON COMMERCE BILL BY CHAIRPERSON LUNDGREN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB606&ga=90,bill_texts/GA90/HSB606.txt,,,,,Foreign
Iowa,90,HSB752,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB752&ga=90,bill_texts/GA90/HSB752.txt,,,Chapter 1002,,Border
Iowa,90,HSB739,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB739&ga=90,bill_texts/GA90/HSB739.txt,,,Chapter 459,,Foreign
Iowa,90,HSB724,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB724&ga=90,bill_texts/GA90/HSB724.txt,,,Chapter 450,,Visa
Iowa,90,HSB720,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB720&ga=90,bill_texts/GA90/HSB720.txt,,,Chapter 1002,,Visa
Iowa,90,HSB710,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB710&ga=90,bill_texts/GA90/HSB710.txt,,,Chapter 103,,Citizenship
Iowa,90,HSB705,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB705&ga=90,bill_texts/GA90/HSB705.txt,,,,,Foreign
Iowa,90,HSB704,(PROPOSED COMMITTEE ON PUBLIC SAFETY BILL BY CHAIRPERSON THOMPSON),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB704&ga=90,bill_texts/GA90/HSB704.txt,,,,,Foreign
Iowa,90,HSB703,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB703&ga=90,bill_texts/GA90/HSB703.txt,,,Chapter 709,,"Immigration, Alien, Foreign"
Iowa,91,HF99,GUSTOFF,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF99&ga=91,bill_texts/GA91/HF99.txt,,,,,"Citizenship, Foreign"
Iowa,91,HF91,GOLDING,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF91&ga=91,bill_texts/GA91/HF91.txt,,,,,Citizenship
Iowa,91,HF83,DIEKEN,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF83&ga=91,bill_texts/GA91/HF83.txt,,,,,"Alien, Foreign"
Iowa,91,HF53,WHEELER,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF53&ga=91,bill_texts/GA91/HF53.txt,,,,,Border
Iowa,91,HF191,"SHIPLEY, FETT, HAYES, GOLDING, SMITH, A. MEYER, WENGRYN, SIECK, BODEN, ANDREWS, GUSTOFF, WILLIAMS, CISNEROS, YOUNG, THOMPSON, DIEKEN, THOMSON, GEHLBACH, SITZMANN, SORENSEN, WHEELER, WOOD, and NORDMAN",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF191&ga=91,bill_texts/GA91/HF191.txt,,,,,Border
Iowa,91,HF165,COMMITTEE ON EDUCATION (SUCCESSOR TO HSB 30),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF165&ga=91,bill_texts/GA91/HF165.txt,,,,,"Immigration, Citizenship"
Iowa,91,HF151,"WESSEL-KROESCHELL, LEVIN, R. JOHNSON, KRESSIG, McBURNEY, MADISON, GOSA, WICHTENDAHL, BROWN-POWERS, B. MEYER, and KURTH",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF151&ga=91,bill_texts/GA91/HF151.txt,,,Chapter 468,,Border
Iowa,91,HF144,"COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO HSB 80) (As Amended and Passed by the House January 30, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF144&ga=91,bill_texts/GA91/HF144.txt,,,,,Border
Iowa,91,HF115,COLLINS and HARRIS,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF115&ga=91,bill_texts/GA91/HF115.txt,,,Chapter 256,,"Migrant, Visa"
